"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A24B","MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING; TOBACCO; SNUFF","","","","","","","This place covers: Manufacture or preparation of tobacco for smoking or chewing Tobacco Snuff"
"A24B1/00","Preparation of tobacco on the plantation","","Harvesters for tobacco","A01D45/16","","","","This place covers: Preparation of harvested tobacco on the plantation."
"A24B1/04","Sifting, sorting, cleaning or removing impurities from tobacco","","Purifying by sifting or sorting in general","B07B","","","",""
"A24B3/00","Preparing tobacco in the factory","","","","","","","This place covers: Primary treatment and preparation of the tobacco in the factory."
"A24B3/02","Humidifying packed raw tobacco","","Containers for packaging contents in moist condition","B65D81/22","","","",""
"A24B3/14","Forming reconstituted tobacco products, e.g. wrapper materials, sheets, imitation leaves, rods, cakes; Forms of such products  (delustering A24C1/40)","A24C1/40","Tobacco or cigarette paper","D21H","","","",""
"A24B3/182","{Puffing}","","","","","","Puffingexpanding tobacco",""
"A24B5/00","Stripping tobacco; Treatment of stems or ribs","","","","","","Stemthe main vein of the tobacco leafLeaf part or laminathe leaf blade, leaf tissue that has been separated from the midrib or stem","This place covers: Separation of the tobacco lamina from the stem or rib."
"A24B7/00","Cutting tobacco","","Hand-cutting toolsSlicing in general, ","B26B|B26D1/00|B26D3/00","","","","This place covers: Cutting tobacco material, e.g. for forming the filler of a cigarette rod."
"A24B9/00","Control of the moisture content of tobacco products, e.g. cigars, cigarettes, pipe tobacco  ({final drying of cigars A24C1/383, of cigarettes A24C5/603}; devices for use by the smoker for controlling the moisture content of tobacco products A24F25/00)","A24C1/383|A24C5/603|A24F25/00","Final drying of cigarsFinal drying of cigarettes","A24C1/383|A24C5/603","","","","This place covers: Control of the moisture content of the tobacco products (in the factory)."
"A24B11/00","Tobacco-twisting machines","","","","","","","This place covers: Machines for making twist or spun tobacco."
"A24B13/00","Tobacco for pipes, for cigars, e.g. cigar inserts, or for cigarettes; Chewing tobacco; Snuff  (reconstituted tobacco products A24B3/14)","A24B3/14","Mechanical treatment  - Chemical features or treatment of tobacco","A24B3/00|A24B11/00|A24B15/00","","","","This place covers: Tobacco per se, for pipes, cigars or cigarettes. Chewing tobacco Snuff"
"A24B15/00","Chemical features or treatment of tobacco; Tobacco substitutes, e.g. in liquid form  (A24B3/00 takes precedence)","A24B3/00","Selection of materials, other than tobacco, suitable for smoking Simulated smoking devices, e.g. imitation cigarettes with chemical heating meansMedicinal preparations containing nicotineEssential oils per se","A24D1/18|A24F42/10|A61K31/465|C11B9/00","Chemical features of cigarette wrappers, including indirect addition of an additive in the wrapper or tipping paper are classified in .","A24D1/02","Organic solventCarbon containing solvent except carbon dioxide.Tobacco substituteThis definition encompasses both non-tobacco plants suitable for smoking or as replacer for cigarette and substitute of cigarettes comprising tobacco extracts, e.g. flavours and possibly nicotine ","This place covers: Chemical features of tobacco, smoking or smokeless tobacco as well as reconstituted tobacco, including chemical treatments, modifying tobacco by chemical agents, e.g. flavourants. This main group also includes biochemical treatments of tobacco and physical treatments such as wave energy, irradiation and electrical treatments."
"A24B15/16","of tobacco substitutes","","","","","","","This place covers: Tobacco substitutes, this group contains both non-tobacco plants suitable for smoking or as replacer for cigarette and substitute of cigarettes comprising tobacco extracts, e.g. flavours and possibly nicotine."
"A24B15/165","{comprising as heat source a carbon fuel or an oxidized or thermally degraded carbonaceous fuel, e.g. carbohydrates, cellulosic material}","","","","Tobacco substitutes comprising as heat source a carbon fuel or an oxydized or thermally degraded carbonaceous fuel, e.g. carbohydrates, cellulosic material. Documents are classified here when the invention concerns chemical aspect of the carbonaceous fuel element, the aerosol generating element or the envelope (special wrappers).","","",""
"A24B15/183","{sterilization, preservation or biological decontamination}","","","","Sterilization, preservation or biological decontamination by any means, e.g. by heating, by chemical, physical, or biological treatment.","","",""
"A24B15/287","{by inorganic substances only}","","","","Treatment of tobacco by inorganic chemical substances only.","","",""
